Most Common P1,Most Common P1,Most Common P2,Most Common P2,Winter Holiday,Winter Holiday,Halloween,Halloween,Brands,Brands,Homophones,Homophones,50 States Names,50 States Names
the,,world,,winter,,black magic,,Acura,,eye,,Alabama,
be,,school,,season,,bogeyman,,Audi,,"I ",,Alaska,
and,,still,,calendar,,cackle,,BMW,,hour,,Arizona,
of,,try,,December,,cemetery,,Buick,,"our ",,Arkansas,
a,,in,,January,,creepy,,Cadillac,,buy,,California,
have,,as,,February,,curse,,Chevrolet,,by,,Colorado,
to,,last,,snow,,dead,,Chrysler,,bye,,Connecticut,
it,,ask,,snowball,,terror,,Dodge,,be,,Delaware,
I,,need,,snowflake,,dreadful,,Ford,,"bee ",,Florida,
for,,too,,snowman,,eerie,,GMC,,blew,,Georgia,
you,,feel,,ice,,evil,,Honda,,blue,,Hawaii,
he,,three,,icy,,fear,,Hyundai,,brake,,Idaho,
with,,when,,icicle,,frighten,,Infiniti,,break,,Illinois,
do,,state,,frost,,"ghastly ",,Jaguar,,board,,Indiana,
say,,never,,blizzard,,ghoul,,Jeep,,"bored ",,Iowa,
this,,become,,hat,,grim,,Kia,,bare,,Kansas,
they,,between,,scarf,,gruesome,,Land Rover,,"bear ",,Kentucky,
at,,high,,mittens,,Halloween,,Lexus,,been,,Louisiana,
but,,really,,sweater,,haunt,,Lincoln,,"bin ",,Maine,
we,,something,,skate,,hocus-pocus,,Mazda,,but,,Maryland,
his,,another,,ski,,horrible,,Mercedes-Benz,,butt,,Massachusetts,
from,,family,,sled,,"horror ",,Mitsubishi,,die,,Michigan,
that,,own,,sleigh,,howl,,Nissan,,"dye ",,Minnesota,
not,,out,,sleighbells,,macabre,,Porsche,,dew,,Mississippi,
by,,leave,,snow shovel,,magic,,Subaru,,do,,Missouri,
she,,put,,Christmas,,moon,,Toyota,,"due ",,Montana,
or,,old,,decorate,,moonlight,,Volkswagen,,dam,,Nebraska,
what,,while,,Christmas tree,,morbid,,Adidas,,"damn ",,Nevada,
go,,mean,,ornaments,,nightmare,,Armani,,dear,,New Hampshire,
their,,on,,angel,,"phantom ",,Burberry,,"deer ",,New Jersey,
can,,keep,,nutcracker,,poltergeist,,Calvin Klein,,disc,,New Mexico,
who,,student,,candle,,scary,,Christian Dior,,"disk ",,New York,
get,,why,,tinsel,,scream,,Columbia,,gym,,North Carolina,
if,,let,,poinsettia,,shiver,,Converse,,Jim,,North Dakota,
would,,great,,wreath,,spell,,GAP,,ate,,Ohio,
my,,same,,holly,,spirit,,Gucci,,eight,,Oklahoma,
make,,big,,candy cane,,spooky,,H&M,,flea,,Oregon,
know,,group,,lights,,supernatural,,Levi's,,flee,,Pennsylvania,
will,,begin,,star,,superstition,,Louis Vuitton,,"flew ",,Rhode Island,
up,,seem,,chimney,,wicked,,Nike,,flu,,South Carolina,
time,,country,,fireplace,,witchcraft,,OLD NAVY,,for,,South Dakota,
year,,help,,stocking stuffer,,bat,,Pandora,,"four ",,Tennessee,
think,,talk,,firewood,,beast,,Polo Ralph Lauren,,forth,,Texas,
which,,turn,,gift,,black cat,,Prada,,fourth,,Utah,
them,,problem,,shopping,,candles,,PUMA,,fair,,Vermont,
some,,every,,card,,casket,,Reebok,,"fare ",,Virginia,
me,,start,,wrap,,cauldron,,Timberland,,fir,,Washington,
people,,hand,,wrapping paper,,cobweb,,Tommy Hilfiger,,"fur ",,West Virginia,
take,,might,,package,,coffin,,Under Armour,,hi,,Wisconsin,
into,,show,,toy,,corpse,,Victoria's Secret,,high,,Wyoming,
just,,part,,exchange,,crypt,,Zara,,hay,,,
see,,about,,present,,eyeballs,,Cadbury,,hey,,,
him,,against,,unwrap,,ghost,,Campbell's,,heal,,,
your,,place,,holiday,,goblin,,Coca-Cola,,"heel ",,,
come,,over,,celebrate,,grave,,Dr. Pepper,,hole,,,
could,,such,,celebration,,gravestone,,Dunkin Donuts,,whole,,,
now,,again,,champagne,,headstone,,Heinz,,hall,,,
than,,few,,bubbly,,jack-o'-lantern,,Hershey's,,haul,,,
other,,most,,gingerbread,,mist,,Kinder,,heard,,,
how,,week,,eggnog,,monster,,Lay's,,herd,,,
then,,company,,fruitcake,,mummy,,Mars,,him,,,
our,,where,,pie,,pumpkin,,Mountain Dew,,hymn,,,
two,,system,,cider,,scarecrow,,Nestlé,,hear,,,
these,,each,,cookie,,skeleton,,Nutella,,here,,,
want,,program,,sugarplum,,skull,,Oreo,,close,,,
way,,hear,,hot chocolate,,spider,,Pepsi,,clothes,,,
look,,so,,Santa Claus,,tomb,,Red Bull,,lie,,,
first,,question,,North Pole,,tombstone,,Reese's,,lye,,,
also,,during,,Santa's workshop,,blood,,Starbucks,,loan,,,
new,,work,,jingle,,broomstick,,Trident,,lone,,,
because,,play,,bells,,candy,,Wrigley's,,lead,,,
day,,government,,reindeer,,cape,,Yoplait,,led,,,
more,,run,,elf,,carve,,Adobe,,mount,,,
use,,small,,elves,,cloak,,Alibaba,,Mt.,,,
no,,number,,Christmas Eve,,clown,,Amazon,,made,,,
man,,off,,carols,,costume,,Apple,,maid,,,
find,,always,,naughty,,crown,,Canon,,mail,,,
here,,move,,Scrooge,,demon,,Dell,,male,,,
thing,,like,,visit,,devil,,eBay,,meat,,,
give,,night,,family,,Dracula,,Facebook,,meet,,,
many,,live,,festive,,dress-up,,Google,,march,,,
well,,point,,jolly,,eyepatch,,Hewlett Packard,,March,,,
those,,believe,,Merry Christmas,,fairy,,Huawei,,missed,,,
tell,,hold,,New Year,,fangs,,IBM,,mist,,,
one,,today,,clock,,"Frankenstein ",,Intel,,know,,,
very,,bring,,countdown,,gory,,Microsoft,,no,,,
her,,happen,,twelve,,gown,,NETFLIX,,knows,,,
even,,next,,midnight,,haunted house,,Nikon,,nose,,,
any,,without,,wish,,hayride,,Nintendo,,knew,,,
good,,before,,kiss,," prank",,Nokia,,"new ",,,
woman,,large,,cheers,,pretend,,Oracle,,knot,,,
through,,all,,toast,,prince,,Panasonic,,not,,,
us,,million,,New Year's resolution,,princess,,Paypal,,oh,,,
life,,must,,invitation,,treat,,Philips,,owe,,,
child,,home,,guest,,trick-or-treat,,Qualcomm,,peak,,,
there,,under,,confetti,,troll,,Samsung,,peek,,,
down,,water,,music,,vampire,,Sony,,peace,,,
"may ",,room,,party,,werewolf,,Toshiba,,piece,,,
should,,write,,dancing,,witch,,Uber,,plain,,,
" call",,mother,,Happy New Year!,,zombie,,Verizon,,"plane ",,,
,,,,hangover,,,,Youtube,,,,,
